sim name,Om,h,w,s8,z,mu_vec,pdf,poisson,mean,var,3th,4th,5th,6th,7th,8th,9th,10th
C030,0.3111,0.638384,-1.1606,0.8838,0.8023,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00048711 0.00048964 0.00049216],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 7.02313247e-06
 7.04173588e-06 7.06033929e-06]",0.9999796250566715,0.0025443036864573653,0.0010900064281206823,0.0017567120650328664,0.004686981463781068,0.015594589182221268,0.05791443622723292,0.22939059080318297,0.9477166042216174,4.033786000219535
C021,0.2222,0.606061,-1.0152,0.8091,0.9019,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00042547 0.00041932 0.00041317],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 5.89498733e-06
 5.85359674e-06 5.81220616e-06]",0.9999937746775075,0.0014328897363383721,0.0004048139265582335,0.000533583285925442,0.0012899540404109273,0.0039740835093291784,0.013645583274175388,0.04969798040185921,0.18769763537860829,0.7262575405501763
C036,0.3232,0.60404,-0.8818,0.7465,1.5551,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00032986 0.00032266 0.00031547],"[8.15802575e-07 8.15550881e-07 8.15299186e-07 ... 6.82262388e-06
 6.75261830e-06 6.68261272e-06]",0.9999492345493097,0.006950694920517918,0.0032496800548101126,0.005798702658184325,0.01628134492567524,0.05639817952656394,0.21677250813251342,0.8859118754126228,3.7693350180220304,16.497608426638322
C036,0.3232,0.60404,-0.8818,0.7465,1.0124,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.0004012  0.00040209 0.00040299],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 6.49985321e-06
 6.50690308e-06 6.51395296e-06]",0.9999892446922404,0.0028518188175398543,0.0010567194968013685,0.001709665990198568,0.004843303337075656,0.017362039927645435,0.0693984108958661,0.2945890136141787,1.298306746575018,5.869098145380119
C011,0.3192,0.642424,-0.7364,0.8273,1.4225,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00040971 0.00041082 0.00041192],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 7.67257489e-06
 7.68259919e-06 7.69262349e-06]",0.9998903383237965,0.007441382782515598,0.004605368256516073,0.009403922450364031,0.028377817663248022,0.10189117352989474,0.3989311016879684,1.643636257095664,7.002851619237709,30.553457647556986
C012,0.2465,0.620202,-1.1788,0.8333,1.0075,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00038697 0.00038466 0.00038235],"[-1.02007916e-07 -7.91642172e-08 -5.63205183e-08 ...  6.26366188e-06
  6.24529405e-06  6.22692621e-06]",0.9999924738541246,0.002556466618216721,0.0009318429229793995,0.001503492751444849,0.004245996254046973,0.015186767102126108,0.06080575657007009,0.259503271542526,1.152570533245077,5.2565635621601094
C051,0.2404,0.791919,-1.1364,0.7929,3.9807,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],"[9.90623407e-05 9.12771025e-05 8.34918643e-05 ... 2.29143657e-04
 2.11128982e-04 1.93114306e-04]","[8.38026123e-06 8.01805518e-06 7.65584914e-06 ... 6.82080144e-06
 6.58713844e-06 6.35347544e-06]",0.9996398886881128,0.02778252153065086,0.016895029148029435,0.034798966027921506,0.10059188106988136,0.35380613910328135,1.3673147549494042,5.5815187515111075,23.609013558745296,102.39351111203757
C026,0.3253,0.7111109999999999,-1.2152,0.7162,2.0812,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],"[7.49208327e-05 5.22624501e-05 2.96040676e-05 ... 3.10063364e-04
 3.00860940e-04 2.91658516e-04]","[5.17261392e-06 5.03693667e-06 4.90125942e-06 ... 7.17399563e-06
 7.07332269e-06 6.97264976e-06]",0.9999025273371358,0.012409908730408942,0.005964279079433724,0.010881691840744888,0.030320923388817308,0.10415360342162355,0.3948557228743272,1.584103096143701,6.594044562148434,28.178530116478715
C058,0.2929,0.779798,-0.9364,0.7081,0.7056,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00048856 0.00048854 0.00048851],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 5.93167401e-06
 5.93136977e-06 5.93106553e-06]",0.9999994430466175,0.001035278908256493,0.00024735493845590866,0.0002982939260032225,0.0007466632238318034,0.002495475279818665,0.009405701968579787,0.03768406044630186,0.15655426685577617,0.6660991379828511
C060,0.2626,0.755556,-0.7667,0.8414,3.6011,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00043852 0.00044531 0.0004521 ],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 9.42927550e-06
 9.50249798e-06 9.57572046e-06]",0.9993009218892667,0.0288939753043192,0.022747006080274672,0.05216345876267099,0.16125630825451925,0.5853550388768471,2.304270459459479,9.52117202401058,40.62369387132215,177.33705635586148
C060,0.2626,0.755556,-0.7667,0.8414,1.1661,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00035005 0.00034263 0.00033521],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 6.46030998e-06
 6.39840057e-06 6.33649116e-06]",0.9999636864800755,0.004002610070847776,0.002120069546428279,0.004046516063640035,0.01190307447374162,0.04191715522982535,0.16108993502873056,0.6514592841528135,2.7245367563115823,11.671041301658434
C057,0.3677,0.658586,-0.8333,0.8677,2.5094,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00045732 0.00045838 0.00045944],"[5.13188407e-07 7.29286746e-07 9.45385085e-07 ... 9.58952167e-06
 9.59997461e-06 9.61042756e-06]",0.9991362193959208,0.027712813362444525,0.024629340551767027,0.05857912136312619,0.18488429412321106,0.6760915599047195,2.6694092667869045,11.043762001955798,47.14705576076579,205.87629955298522
C062,0.3354,0.741414,-0.7485,0.8455,0.2765,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.0005422  0.00054143 0.00054066],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 4.27540451e-06
 4.27236007e-06 4.26931563e-06]",1.0000005675803127,0.00017531254790908535,3.118103122804473e-05,2.1276662351435513e-05,2.7208083747738976e-05,4.549465739051017e-05,8.603311564968036e-05,0.0001738631324695075,0.0003659579395278325,0.0007913967083310984
C050,0.3212,0.753535,-0.7545,0.7525,5.4665,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00040493 0.0003794  0.00035387],"[1.53563603e-06 1.53412394e-06 1.53220063e-06 ... 9.53095290e-06
 9.22489559e-06 8.91883829e-06]",0.9988238966313894,0.05002190223313911,0.040604886531560955,0.09398352701885518,0.2832263681525583,1.01197535252569,3.941018598913979,16.166931577848718,68.63985072131746,298.6262408310546
C068,0.2141,0.678788,-1.197,0.7646,1.9009,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.00020758 0.00021911 0.00023064 ... 0.00037703 0.00038389 0.00039075],"[7.58265090e-06 7.76160208e-06 7.94055327e-06 ... 7.21761759e-06
 7.28537783e-06 7.35313807e-06]",0.9999766959496096,0.0065496044888285615,0.00233300124517204,0.0037350878253747683,0.010042269882054625,0.0343088594900589,0.13085054531707066,0.530963794673805,2.24181426558743,9.731184683556373
C066,0.2364,0.682828,-1.1,0.896,2.5591,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00036777 0.00035395 0.00034013],"[8.48199768e-07 8.47815834e-07 8.47431899e-07 ... 8.16638732e-06
 8.01584729e-06 7.86530725e-06]",0.9996974396697813,0.01786436420742444,0.011742958163688184,0.024843488775488393,0.07485989858634072,0.2695226645817792,1.0596516809401335,4.385775451611644,18.767074860639813,82.1951620282469
C058,0.2929,0.779798,-0.9364,0.7081,1.1275,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.000355   0.00035168 0.00034837],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 6.21330273e-06
 6.18487367e-06 6.15644462e-06]",0.9999930701723786,0.003126887258716235,0.0010793386139199648,0.0016966108815594347,0.004748831542277992,0.01688174186723283,0.06677426222379089,0.27972772876366736,1.2136155204725152,5.389561047615456
C068,0.2141,0.678788,-1.197,0.7646,2.3379,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.00041029 0.00042713 0.00044396 ... 0.00034402 0.00034923 0.00035444],"[1.17974812e-05 1.20227322e-05 1.22479833e-05 ... 7.27121824e-06
 7.32798349e-06 7.38474874e-06]",0.999949627654408,0.009394470387476088,0.003587008161465257,0.005893876399781986,0.01567945135418789,0.05306857798939489,0.20081139067396278,0.8088591650679677,3.388520798825022,14.579596026414794
C055,0.3374,0.624242,-0.9424,0.8859,1.7709,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00043826 0.0004316  0.00042495],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 8.69135063e-06
 8.62580567e-06 8.56026072e-06]",0.9996731976448687,0.01441284494657836,0.01067389470718472,0.023273911205910557,0.07096717042618261,0.25427676428130674,0.9899062153287531,4.051929740822961,17.152756211183018,74.38958558900615
C013,0.3394,0.7131310000000001,-1.1848,0.8899,0.8152,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00039709 0.00038744 0.00037779],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 6.66150792e-06
 6.58741613e-06 6.51332434e-06]",0.9999752783156598,0.003334012260753,0.0017673681889251078,0.003405169539684656,0.010310635554904838,0.03756620107882129,0.14945989583581132,0.6248841268113338,2.695861714212144,11.882620417913898
C004,0.2505,0.672727,-1.2333,0.8556,1.2808,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00034241 0.00033385 0.0003253 ],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 6.61485562e-06
 6.53938153e-06 6.46390745e-06]",0.9999726402878105,0.004989090979936397,0.0023206278174317412,0.004182534171665324,0.011959779372095086,0.04174117715197044,0.16030668880061114,0.650264973418549,2.7316244238366387,11.755514525653531
C049,0.2,0.737374,-1.0212,0.7404,2.4309,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.00055016 0.00057308 0.000596   ... 0.0002751  0.00027016 0.00026523],"[1.31922499e-05 1.34422029e-05 1.36921559e-05 ... 6.39385325e-06
 6.33852678e-06 6.28320031e-06]",0.9999607086211094,0.008345694042239248,0.00303177560831267,0.0049638780113161664,0.013354240637557831,0.0455101829081199,0.17242884878936618,0.6928585588925633,2.8902054108099406,12.375448009119808
C034,0.2323,0.7090909999999999,-0.9485,0.9,1.0652,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00042399 0.00042363 0.00042327],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 6.79111850e-06
 6.78796685e-06 6.78481520e-06]",0.9999735934818808,0.003128722006059547,0.0014822522012970113,0.0026874456471717035,0.00787152415152692,0.02809730085881639,0.11007040556792475,0.454315117040951,1.9384825822749236,8.46357734769615
C069,0.2343,0.707071,-0.9545,0.702,1.0649,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00037935 0.00037804 0.00037673],"[8.82556600e-07 9.12662669e-07 9.42768738e-07 ... 5.77519996e-06
 5.76514087e-06 5.75508179e-06]",1.000000438370414,0.0017355101391426774,0.0004258153256123494,0.000563936371278536,0.0015177088666630464,0.00541573508525757,0.021728885858135608,0.0925131900871603,0.40767150757506043,1.8358859778560592
C000,0.3051,0.7515149999999999,-1.2394,0.8576,1.9958,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00048659 0.00050245 0.00051832],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 9.34670132e-06
 9.51415703e-06 9.68161275e-06]",0.9997154255622028,0.01652164900930124,0.011372662571825388,0.024243035863571558,0.07306466458836702,0.26119075583434814,1.0177145407075863,4.1746746857942885,17.717892189931057,77.04107453034553
C063,0.3475,0.7696970000000001,-1.1667,0.7343,2.4933,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00037316 0.00036437 0.00035557],"[1.36764570e-06 1.75725660e-06 2.14686750e-06 ... 8.35401745e-06
 8.25801685e-06 8.16201624e-06]",0.999733173851358,0.020133743787682394,0.012376831285190692,0.025293943294345134,0.07409433490920589,0.26228808396420056,1.0184868063152825,4.174431932981702,17.72313554582657,77.13644157835634
C058,0.2929,0.779798,-0.9364,0.7081,5.96,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],"[5.33037275e-05 7.72679265e-05 9.94256644e-05 ... 2.73602188e-04
 2.65388604e-04 2.57175020e-04]","[7.61549636e-06 8.92254591e-06 1.01312948e-05 ... 7.79163109e-06
 7.68146812e-06 7.57130516e-06]",0.9993802551289865,0.04484752707182205,0.02936764730978835,0.062419271861508446,0.17830801576211602,0.624483830163365,2.4121630943451478,9.864742018199038,41.84608739214735,182.07337665984355
C035,0.3596,0.680808,-0.8697,0.7061,2.4455,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00033417 0.00033057 0.00032696],"[2.36962392e-06 2.57744497e-06 2.78526602e-06 ... 7.73700500e-06
 7.69531581e-06 7.65362661e-06]",0.9998047467016369,0.01681910116624209,0.009710304942422854,0.019349669810423003,0.055934882391916914,0.1953375963025723,0.747585113555057,3.0185967907526527,12.626039750217338,54.15793334157236
C050,0.3212,0.753535,-0.7545,0.7525,1.0505,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00044083 0.00044044 0.00044005],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 7.03822207e-06
 7.03486624e-06 7.03151040e-06]",0.9999781244309998,0.0034407990887439597,0.0015706397034993718,0.0028558730786351688,0.00851126405927985,0.031092272389638242,0.12502624529824793,0.5309693444330998,2.3356144157072984,10.528203849085576
C002,0.3434,0.765657,-0.9121,0.8879,1.0186,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00049349 0.00049154 0.00048959],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 8.03341983e-06
 8.01745416e-06 8.00148850e-06]",0.9999151828005147,0.00546025167464222,0.00343338068416849,0.006838372179146354,0.020258558136587747,0.07171525431987053,0.2781963605127949,1.139971533197199,4.844081937072073,21.121520440027695
C015,0.3515,0.7818179999999999,-1.0455,0.7263,4.4766,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00036093 0.00035143 0.00034192],"[1.88150453e-06 1.87950301e-06 1.97148469e-06 ... 8.92386482e-06
 8.81130352e-06 8.69874221e-06]",0.9991783919238565,0.04380017822074793,0.03298797480865768,0.07405882678459805,0.2207035503356691,0.786217363999349,3.060216103267438,12.554955815132303,53.31269003402957,231.95273671575023
C055,0.3374,0.624242,-0.9424,0.8859,0.5961,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00046318 0.00046351 0.00046384],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 6.09188974e-06
 6.09389998e-06 6.09591021e-06]",0.9999892681426594,0.001357982696742017,0.0005435205348265088,0.0008876873667759894,0.0025334516070923295,0.009071322875863866,0.03605935529615554,0.1516423269267081,0.6597420625659517,2.9348708593766513
C057,0.3677,0.658586,-0.8333,0.8677,1.0579,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00035093 0.00034101 0.0003311 ],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 6.88052097e-06
 6.79450211e-06 6.70848324e-06]",0.9999088728477431,0.005808234364014718,0.003702886745714091,0.007481151625788779,0.022253268679370337,0.07846342206506747,0.3014166754265158,1.2181892610518994,5.090982184571755,21.787700141546026
C017,0.3273,0.652525,-1.2515,0.8475,1.6062,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00035844 0.00034893 0.00033941],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 7.61321878e-06
 7.51250456e-06 7.41179035e-06]",0.999840442957613,0.011384969489951475,0.007028200073046871,0.014167257174134234,0.04180011893566226,0.14769402819959462,0.5708829483992272,2.326220318541665,9.812083498014518,42.40899196115103
